epoch,loss,mse,mse_high_npv,mse_low_npv,npv_mse_corr,val_loss
0,8.48746395111084,6.7441444,8.723328,2.785516,0.42407586114941614,6.74414587020874
1,6.2726616859436035,6.036802,7.8417726,2.4266183,0.597740599805282,6.036801815032959
2,5.8752641677856445,5.7191234,7.443456,2.2702267,0.691922312689315,5.7191243171691895
3,5.632412910461426,5.559421,7.2450066,2.1880248,0.7141787047253705,5.559419631958008
4,5.481957912445068,5.4444113,7.1002035,2.132606,0.733001044220451,5.444410800933838
5,5.373927593231201,5.3750644,7.0142937,2.0963864,0.75762119266758,5.375063419342041
6,5.292364120483398,5.280738,6.892542,2.056913,0.8003972668684997,5.280736446380615
7,5.223541259765625,5.2027144,6.792452,2.0230281,0.8039273483391778,5.202714920043945
8,5.145436763763428,5.1368685,6.7090597,1.9922758,0.8059151874463524,5.136868953704834
9,5.096518516540527,5.083376,6.6392956,1.9713304,0.8178069491206702,5.083375930786133
0,5.058598518371582,5.0847573,6.6438217,1.9664195,0.8261608378928587,5.084756851196289
1,5.025073051452637,5.011423,6.547,1.9400635,0.8233096980025381,5.011422634124756
2,4.973134994506836,4.9731064,6.4981594,1.9227949,0.8218052428884705,4.973105430603027
3,4.945183277130127,4.942633,6.457916,1.9118642,0.8224782339335829,4.942633152008057
4,4.922090530395508,4.9305906,6.4445014,1.9025673,0.8256311245964763,4.93058967590332
5,4.905203819274902,4.928602,6.441906,1.9017931,0.8190896707374414,4.9286041259765625
6,4.888240814208984,4.906667,6.413423,1.892956,0.8277381006132423,4.906667232513428
7,4.8712897300720215,4.8681273,6.3627076,1.8787677,0.8282597094873505,4.868127346038818
8,4.856936454772949,4.863847,6.3580594,1.8752218,0.8293344894052609,4.863846778869629
9,4.8424906730651855,4.862964,6.357969,1.8727553,0.8379859112855692,4.8629655838012695
0,4.827138423919678,4.8428087,6.330892,1.8664453,0.8320459569973659,4.842808723449707
1,4.815731048583984,4.822986,6.305504,1.8577552,0.8263532588807995,4.822986125946045
2,4.800845146179199,4.8241267,6.3070283,1.858127,0.8338785328261726,4.824126243591309
3,4.793291091918945,4.797514,6.2726765,1.8469923,0.8337394129576324,4.797513484954834
4,4.779601097106934,4.7989597,6.2751546,1.846372,0.8348408236457977,4.798959732055664
5,4.767503261566162,4.7869344,6.259862,1.8408815,0.8286230185696306,4.786933422088623
6,4.7583909034729,4.784158,6.257243,1.837793,0.8317648955936169,4.784159183502197
7,4.751284599304199,4.77561,6.245922,1.834791,0.8248788364750305,4.775609970092773
8,4.743010520935059,4.7594113,6.2246046,1.8288312,0.8330225368705066,4.759411334991455
9,4.736035346984863,4.7509723,6.2129908,1.8267391,0.8357027343812027,4.75097131729126
0,4.727025508880615,4.75717,6.222666,1.8259811,0.8341667665159738,4.7571702003479
1,4.722178936004639,4.736638,6.1947966,1.8201267,0.8408364345629016,4.73663854598999
