epoch,loss,val_loss
0,34.77880096435547,36.044189453125
1,36.56101608276367,36.74782180786133
2,35.80672073364258,30.423330307006836
3,17.113672256469727,15.16006851196289
4,9.865141868591309,6.615037441253662
5,8.830862998962402,5.946486949920654
6,8.304142951965332,5.39293098449707
7,9.771637916564941,9.904545783996582
8,7.115481853485107,4.659458160400391
9,6.24877405166626,4.45245361328125
10,6.1518425941467285,4.394047260284424
11,6.103433609008789,4.316180229187012
12,6.063021183013916,4.348843097686768
13,5.98479700088501,4.221614837646484
14,5.957442283630371,4.145047187805176
15,5.875804424285889,4.085697174072266
16,5.87162971496582,4.052211284637451
17,5.8069257736206055,4.058961868286133
18,5.813568592071533,3.999720335006714
19,5.847141742706299,4.003084182739258
20,5.830765724182129,3.9938175678253174
21,5.812747955322266,4.034121990203857
22,5.832065582275391,4.003597259521484
23,5.840571403503418,4.123740196228027
24,5.791271209716797,4.075510025024414
25,5.756439208984375,4.181697845458984
26,5.782482624053955,4.075554370880127
27,5.822885513305664,4.153099060058594
28,5.793789386749268,4.128748893737793
29,5.8079681396484375,4.240880966186523
30,5.786511421203613,4.225552558898926
31,5.80890417098999,4.265283107757568
32,5.770201206207275,4.389333248138428
33,5.7919230461120605,4.324355602264404
34,5.777634143829346,4.29229736328125
35,5.765928268432617,4.312341690063477
36,5.7663726806640625,4.341073989868164
37,5.7459516525268555,4.4044575691223145
38,5.751775741577148,4.298965930938721
39,5.7660040855407715,4.49167537689209
40,5.7455878257751465,4.352336883544922
41,5.724727630615234,4.296803951263428
42,5.714022159576416,4.271254062652588
43,5.73707914352417,4.457281112670898
44,5.768906593322754,4.31950569152832
45,5.759725570678711,4.317481517791748
46,5.763943195343018,4.371740341186523
47,5.761260986328125,4.288459777832031
48,5.7322611808776855,4.310098171234131
49,5.718297958374023,4.350724697113037
