epoch,loss,mse,mse_high_npv,mse_low_npv,npv_mse_corr,val_loss
0,1.9443919658660889,7.7556257,9.932845,3.4008937,0.2915370794784602,1.777678370475769
1,1.758052945137024,7.687978,9.837678,3.3882883,0.28669503916104644,1.7455408573150635
2,1.7395198345184326,7.6399817,9.782018,3.3556244,0.28960813091829873,1.7338063716888428
3,1.7283210754394531,7.4673467,9.561423,3.2789178,0.28948081455122443,1.7246702909469604
4,1.7208040952682495,7.5280356,9.639663,3.3045013,0.29437135072854276,1.718334436416626
5,1.714003086090088,7.425477,9.511843,3.2524683,0.2953692178017929,1.7097108364105225
6,1.7054418325424194,7.236963,9.278444,3.153728,0.29653169424181325,1.7007654905319214
7,1.6949423551559448,7.227282,9.273719,3.1341367,0.3000938710605809,1.6872503757476807
8,1.683905005455017,7.2236156,9.271326,3.1279178,0.29533206352855057,1.675819754600525
9,1.6742191314697266,7.223153,9.2762165,3.1167502,0.29151751095180295,1.6679956912994385
0,1.6654444932937622,7.3300304,9.4176445,3.1545234,0.29491240515406203,1.6659846305847168
1,1.6580461263656616,7.143045,9.180272,3.0683208,0.28849217991264414,1.6536641120910645
2,1.6500004529953003,7.2758245,9.355699,3.115801,0.29114556482149867,1.643509030342102
3,1.6414458751678467,7.3349614,9.432974,3.1386569,0.29059327361437653,1.6414417028427124
4,1.6324787139892578,7.1645536,9.212311,3.0687642,0.2829187300805936,1.624618411064148
5,1.6251063346862793,7.181752,9.240834,3.063313,0.2833683905032319,1.626943588256836
6,1.619022011756897,7.1878915,9.247738,3.0679247,0.282149725584876,1.610138177871704
7,1.6136001348495483,7.171305,9.226231,3.0611765,0.2817747985139375,1.6133787631988525
8,1.6085350513458252,7.370963,9.489483,3.1336403,0.2880895443924205,1.6095929145812988
9,1.6043964624404907,7.2349205,9.312308,3.0798697,0.28274286515156477,1.5956387519836426
0,1.6013895273208618,7.1605115,9.220712,3.0398362,0.28080360411065286,1.60151207447052
1,1.5979394912719727,7.194112,9.261749,3.0585592,0.28157756880201296,1.595258116722107
2,1.5947321653366089,7.229569,9.312209,3.0640116,0.2841358903082079,1.5978717803955078
3,1.592561960220337,7.2951856,9.390564,3.1041493,0.2842025250063559,1.5924170017242432
4,1.5889900922775269,7.2184415,9.296927,3.0611897,0.2825483622838537,1.5884475708007812
5,1.5882853269577026,7.0908856,9.129394,3.013598,0.2789393609410798,1.5940121412277222
6,1.5858335494995117,7.2193866,9.29874,3.0604036,0.2827803329981872,1.593820333480835
7,1.5851325988769531,7.1848264,9.250817,3.052569,0.2805541691371071,1.5748566389083862
8,1.5833065509796143,7.1730323,9.239825,3.0391705,0.28125733396709507,1.5786274671554565
9,1.5802960395812988,7.1800385,9.247798,3.0442448,0.2811385724422808,1.5749167203903198
0,1.581653118133545,7.313547,9.41492,3.1105251,0.2846557098186864,1.584641933441162
1,1.5778262615203857,7.273834,9.373137,3.0749505,0.2850924018200765,1.5788308382034302
2,1.577628493309021,7.320921,9.433906,3.0946696,0.28635497628443535,1.5903799533843994
3,1.5758782625198364,7.375164,9.496734,3.1317437,0.2868826363977615,1.5773754119873047
4,1.5753756761550903,7.1781826,9.243792,3.0466893,0.28073708247575174,1.5665786266326904
5,1.5714247226715088,7.3021827,9.408747,3.0887742,0.28510461367708206,1.5776947736740112
6,1.5746389627456665,7.335411,9.4531145,3.0997229,0.28680444246002107,1.579498291015625
7,1.5706171989440918,7.172501,9.237693,3.0418382,0.2809583910139916,1.5736439228057861
8,1.5708218812942505,7.262787,9.356871,3.074341,0.2847473556783075,1.5694289207458496
9,1.5707778930664062,7.1319714,9.185818,3.0240054,0.28026257860358983,1.563016653060913
0,1.569661259651184,7.1493835,9.20452,3.038835,0.28010171157456837,1.5681103467941284
1,1.5706127882003784,7.2386236,9.325258,3.0650778,0.2843664833870463,1.5696728229522705
2,1.5656880140304565,7.2223554,9.303779,3.0592306,0.2836114568984621,1.5722172260284424
3,1.5689105987548828,7.228667,9.310303,3.065121,0.2837825505820939,1.558430552482605
4,1.5654168128967285,7.3813453,9.506334,3.1310837,0.2886029193176052,1.5830554962158203
5,1.5660207271575928,7.1563206,9.2173,3.0340858,0.2811187417175367,1.5718998908996582
6,1.5636756420135498,7.0738397,9.113772,2.9937,0.27948724432744926,1.5724180936813354
7,1.5636290311813354,7.1512184,9.212199,3.0289834,0.2813215338822736,1.565866470336914
8,1.5611934661865234,7.238174,9.324084,3.066073,0.28333067401477435,1.572055459022522
9,1.5616592168807983,7.170155,9.236229,3.0377288,0.28096218891752656,1.5573891401290894
0,1.5602664947509766,7.249254,9.33578,3.0759227,0.28355379498285627,1.5644222497940063
1,1.5597976446151733,7.124679,9.169664,3.0344353,0.27825762054253433,1.5641016960144043
2,1.5580849647521973,7.151926,9.211903,3.0317025,0.28026293609359776,1.5496673583984375
3,1.5561635494232178,7.3260345,9.434055,3.109709,0.2838871151179947,1.5653986930847168
4,1.5559635162353516,7.300472,9.412213,3.0767052,0.28561090711313764,1.5676051378250122
5,1.555289626121521,7.165514,9.225551,3.0451643,0.2781135220129549,1.5464733839035034
6,1.5547741651535034,7.2031074,9.274901,3.0592442,0.2811868676091055,1.5540424585342407
7,1.553252100944519,7.116597,9.16437,3.0207815,0.27784948895343864,1.5608880519866943
8,1.5522392988204956,7.1897626,9.254459,3.0600932,0.2799690494616124,1.5479227304458618
9,1.5535714626312256,7.147925,9.201605,3.0402904,0.27886245748674904,1.556465744972229
0,1.5499745607376099,7.134461,9.190617,3.0218732,0.2790855063087654,1.548079490661621
1,1.5513666868209839,7.1593404,9.218508,3.0407333,0.28005971198993335,1.5493443012237549
2,1.5493782758712769,7.076039,9.112275,3.0032928,0.27579059758803665,1.5630614757537842
3,1.5484075546264648,7.115332,9.166484,3.012755,0.2782153455271007,1.543205738067627
4,1.5490063428878784,7.125546,9.174372,3.0276213,0.27756358982679075,1.542654037475586
5,1.5482490062713623,7.061511,9.089943,3.0043757,0.27566793699831943,1.5503267049789429
6,1.5482434034347534,7.056466,9.086094,2.996942,0.27614386281649794,1.551114559173584
7,1.5467289686203003,7.3432913,9.455845,3.1179035,0.28486102216572995,1.5581250190734863
8,1.5467828512191772,7.0231714,9.047096,2.9750524,0.2760780659123664,1.5615135431289673
9,1.547379970550537,7.2581844,9.348558,3.077162,0.28119474129893496,1.5415818691253662
0,1.5458149909973145,7.218692,9.294019,3.067761,0.280239340742288,1.544867753982544
1,1.5463584661483765,7.0796394,9.119842,2.998965,0.27674548753588,1.553407073020935
2,1.5448272228240967,7.178138,9.242414,3.0493088,0.2786320133188909,1.547856092453003
3,1.5454984903335571,7.265333,9.357176,3.0813692,0.28279423194414965,1.5553709268569946
4,1.5455687046051025,7.2037024,9.276962,3.0569072,0.27956841913488806,1.552878975868225
5,1.5446990728378296,7.3100314,9.411287,3.1072373,0.2832672590805058,1.5528509616851807
6,1.543379306793213,7.156962,9.215884,3.0388417,0.2780099788831232,1.5392118692398071
7,1.5438488721847534,7.127838,9.173412,3.0364163,0.27657081003581585,1.547164797782898
8,1.5436724424362183,7.0746007,9.109239,3.0050516,0.2757549106077127,1.545343279838562
9,1.5424031019210815,7.1907883,9.258699,3.0546875,0.2791253222751862,1.5397391319274902
0,1.5439709424972534,7.1725516,9.237099,3.0431817,0.27790550238559675,1.5443542003631592
1,1.5431420803070068,7.0448413,9.073022,2.9882112,0.27517712928474647,1.5525305271148682
2,1.5423911809921265,7.120511,9.168366,3.0245283,0.27574269433544796,1.5422677993774414
3,1.5409804582595825,7.139685,9.1890335,3.0407133,0.27679079591131434,1.539564847946167
4,1.5409493446350098,7.156194,9.215165,3.0379803,0.27768878914783757,1.5402307510375977
5,1.5423539876937866,7.185952,9.2587385,3.0401034,0.2791777204583935,1.532744288444519
6,1.5413661003112793,7.232754,9.310891,3.0762043,0.2784272718369728,1.537650227546692
7,1.540583848953247,7.1513233,9.205968,3.0417593,0.2770915696350466,1.538970708847046
8,1.5421308279037476,7.1630955,9.218708,3.051595,0.2761972153595354,1.5359559059143066
9,1.5387566089630127,7.0696297,9.102371,3.003874,0.27400071971355844,1.5428129434585571
0,1.5402002334594727,7.214365,9.294839,3.0531385,0.281186148176373,1.5363022089004517
1,1.5406755208969116,7.1585484,9.218122,3.0391233,0.27792491618266746,1.5416345596313477
2,1.539255142211914,7.0251436,9.045869,2.9834197,0.27383934447067615,1.5486623048782349
3,1.53864586353302,7.1956,9.2599745,3.066575,0.2774894462668112,1.5356311798095703
4,1.539324164390564,7.1151376,9.158188,3.028762,0.2758033814664617,1.5358328819274902
5,1.5397008657455444,7.211302,9.286229,3.0611684,0.27837077967038526,1.5333510637283325
6,1.5380109548568726,7.138306,9.189383,3.03588,0.27641824956198074,1.5325617790222168
7,1.5389912128448486,7.075622,9.111057,3.0044801,0.2739106913423004,1.5416035652160645
8,1.537644863128662,7.1835356,9.254116,3.0420988,0.2786688776623319,1.5446654558181763
9,1.5383855104446411,7.262002,9.356109,3.0735087,0.2811239198361104,1.5422320365905762
0,1.5369817018508911,7.2326713,9.314747,3.0682418,0.2802415331879355,1.53752601146698
1,1.536976933479309,7.0744286,9.112689,2.9976344,0.2741496048662841,1.5376243591308594
2,1.5375062227249146,7.1945944,9.266531,3.0504467,0.2779318855282985,1.542736291885376
3,1.53764009475708,7.0838985,9.122195,3.0070355,0.27413856137932496,1.5352895259857178
4,1.536596417427063,7.141367,9.196749,3.0303297,0.2761265729700932,1.5335264205932617
5,1.5350639820098877,7.208038,9.277034,3.0697732,0.2778680403344206,1.5384148359298706
6,1.5372449159622192,7.100291,9.146773,3.0070524,0.2751684145160908,1.5361438989639282
7,1.5360146760940552,7.156517,9.217199,3.0348778,0.2773361260045136,1.5387495756149292
8,1.5366859436035156,7.1274714,9.178281,3.0255826,0.27550105369757577,1.5357048511505127
9,1.5343048572540283,7.249864,9.338608,3.072096,0.2806504601053259,1.5312246084213257
0,1.5367927551269531,7.116565,9.15878,3.0318644,0.2749540060229814,1.5419634580612183
1,1.533477544784546,7.1419506,9.195207,3.0351653,0.276312913286446,1.5361461639404297
2,1.535868525505066,7.0735464,9.106211,3.0079467,0.2737981677554545,1.5308496952056885
3,1.535339117050171,7.206756,9.285005,3.0499785,0.27882449434961815,1.5341511964797974
4,1.5328974723815918,7.0599284,9.094572,2.99037,0.27409665242649955,1.53596031665802
5,1.535229206085205,7.279686,9.378755,3.0812683,0.2796325496285721,1.5375910997390747
6,1.5331501960754395,7.1149564,9.164233,3.0161302,0.27567421535870773,1.5343053340911865
7,1.533939003944397,7.145847,9.203578,3.0301113,0.2762362094334294,1.530145287513733
8,1.5339502096176147,7.175218,9.238402,3.0485728,0.27659053393320177,1.5317978858947754
9,1.533433437347412,7.309462,9.416939,3.094227,0.2821349694550566,1.5416268110275269
0,1.5337883234024048,7.1520658,9.217295,3.0213346,0.27718691934790984,1.5280203819274902
1,1.5319817066192627,7.2824044,9.384749,3.0774343,0.2811064134581447,1.536388874053955
2,1.5330106019973755,7.233358,9.316299,3.0671973,0.28052735216582103,1.530832290649414
3,1.5322641134262085,7.086462,9.126665,3.0057847,0.2739206770787795,1.5325316190719604
4,1.5333200693130493,7.062646,9.09803,2.991607,0.2745209077449707,1.5378475189208984
